	k_groups_corrected
NR2E3	1k101
ACHE	1k101
PDE6A	1k101
RARG	1k101
HPCA	1k101
CRYGA	1k101
FOXC2	1k101
GDF3	1k101
CRYBB3	1k101
CRYBB1	1k101
PITX3	1k101
GNAT1	1k101
FASLG	1k101
CRHR1	1k101
FUT7	1k101
STAR	1k101
FOXO4	1k101
FGF21	1k101
GCK	1k101
ADCY8	1k101
FFAR3	1k101
CYP11B2	1k101
GLP2R	1k101
JAK3	1k101
PRLH	1k101
NR5A1	1k101
GRM4	1k101
GIPR	1k101
MCHR1	1k101
ADRA1A	1k101
SSTR4	1k101
EPHA5	1k101
EGFR	1k101
KCNC2	1k101
CCKAR	1k101
PICK1	1k101
AVP	1k101
RLBP1	1k101
RGR	1k101
RBP3	1k101
KCNA1	1k101
MYOG	1k101
MT1G	1k101
PRSS50	1k101
PRTN3	1k101
CTRB1	1k101
PLG	1k101
CTRB2	1k101
ACR	1k101
KLK5	1k101
MAP2K7	1k101
LTK	1k101
TNK2	1k101
TNK1	1k101
GRIN1	1k101
LDLR	1k101
ALDH6A1	1k101
FKBP6	1k101
FOLR3	1k101
LTB4R2	1k101
PGC	1k101
ADAM30	1k101
ADAM11	1k101
MMP11	1k101
ECE2	1k101
SCN2B	1k101
GRID2	1k101
KCNJ9	1k101
KCNA6	1k101
GABRD	1k101
P2RX2	1k101
CLCN1	1k101
FCGR2B	3k101
HLA-DRA	3k101
HLA-DRB3	3k101
LCK	3k101
LAPTM5	3k101
JAM2	3k101
CD83	3k101
ICOS	3k101
CORO1A	3k101
HLA-DRB1	3k101
SELP	3k101
CXCL12	3k101
RIPOR2	3k101
HLA-DMB	3k101
ITGB2	3k101
CD209	3k101
SELL	3k101
SELPLG	3k101
HLA-DPA1	3k101
CD74	3k101
CD86	3k101
AIF1	3k101
ITGA4	3k101
LAG3	3k101
VAV1	3k101
CTLA4	3k101
CRTAM	3k101
LILRB1	3k101
HLA-DPB1	3k101
IL2RA	3k101
CD28	3k101
MAFB	3k101
IL18R1	3k101
BCL2	3k101
LAT	3k101
PRDM1	3k101
CLEC4A	3k101
SH2B3	3k101
WIPF1	3k101
HLA-DQB1	3k101
HLA-DRB4	3k101
HLA-DRB5	3k101
PIK3R2	3k101
HLA-DQA2	3k101
THEMIS2	3k101
FPR3	3k101
PDE4B	3k101
LPXN	3k101
TYROBP	3k101
PRKCH	3k101
C3AR1	3k101
HLA-DQA1	3k101
IFI30	3k101
HLA-DMA	3k101
MARCHF1	3k101
CD40	3k101
CSF1R	3k101
FLT3LG	3k101
LST1	3k101
HHEX	3k101
RAB33A	3k101
CFHR2	3k101
C1QB	3k101
C1QA	3k101
IL18RAP	3k101
CD200	3k101
TLR1	3k101
LY96	3k101
NLRP1	3k101
CD14	3k101
TLR7	3k101
CST7	3k101
RASSF2	3k101
ARHGDIB	3k101
PLXNC1	3k101
CXCR4	3k101
IL21R	3k101
NAIP	3k101
CFD	3k101
RNASE6	3k101
KMO	3k101
ADORA2A	3k101
RAMP3	3k101
CLIC2	3k101
SIGLEC1	3k101
SYNE3	3k101
PLEKHO1	3k101
RGS2	3k101
