	RSS
GSM324715	RSS1
GSM324716	RSS1
GSM324718	RSS1
GSM324722	RSS1
GSM324723	RSS1
GSM324724	RSS1
GSM324727	RSS1
GSM324728	RSS1
GSM324729	RSS1
GSM324730	RSS1
GSM324732	RSS2
GSM324733	RSS1
GSM324735	RSS1
GSM324737	RSS1
GSM324738	RSS3
GSM324739	RSS1
GSM324740	RSS1
GSM324741	RSS3
GSM324742	RSS3
GSM324744	RSS3
GSM324745	RSS1
GSM324746	RSS1
GSM324747	RSS1
GSM324751	RSS3
GSM324752	RSS1
GSM324757	RSS1
GSM324758	RSS1
GSM324761	RSS1
GSM324762	RSS3
GSM324763	RSS1
GSM324767	RSS3
GSM324774	RSS1
GSM324775	RSS2
GSM358342	RSS2
GSM358358	RSS1
GSM358359	RSS2
GSM358363	RSS1
GSM358364	RSS2
GSM358370	RSS1
GSM358373	RSS1
GSM358384	RSS1
GSM358387	RSS1
GSM358389	RSS1
GSM358438	RSS2
GSM358441	RSS1
GSM358444	RSS3
GSM358452	RSS3
GSM358462	RSS3
GSM358464	RSS1
GSM358465	RSS3
GSM358466	RSS1
GSM358468	RSS3
GSM358474	RSS1
GSM358492	RSS2
GSM358530	RSS2
GSM358533	RSS1
GSM358540	RSS1
GSM358549	RSS1
GSM358550	RSS1
GSM358553	RSS2
GSM358555	RSS3
GSM358558	RSS1
GSM358560	RSS1
GSM358570	RSS2
GSM358582	RSS2
GSM358587	RSS2
GSM358599	RSS1
GSM358617	RSS3
GSM358619	RSS1
GSM358623	RSS1
GSM358624	RSS1
GSM358630	RSS2
GSM868548	RSS1
GSM868549	RSS1
GSM868550	RSS3
GSM868551	RSS3
GSM868552	RSS2
GSM868553	RSS1
GSM868554	RSS1
GSM868555	RSS1
GSM868556	RSS1
GSM868557	RSS1
GSM868558	RSS1
GSM868559	RSS2
GSM868560	RSS3
GSM868561	RSS1
GSM868562	RSS1
GSM868563	RSS1
GSM868564	RSS1
GSM868565	RSS2
GSM868566	RSS1
GSM868567	RSS1
GSM868568	RSS2
GSM868569	RSS2
GSM868570	RSS2
GSM868571	RSS1
GSM868572	RSS2
GSM868573	RSS1
GSM868574	RSS3
GSM868575	RSS2
GSM868576	RSS1
GSM868577	RSS1
GSM868578	RSS3
GSM868579	RSS1
GSM868580	RSS1
GSM868581	RSS3
GSM868582	RSS1
GSM868583	RSS3
GSM868584	RSS1
GSM868585	RSS1
GSM868586	RSS1
GSM868587	RSS1
GSM868588	RSS3
GSM868589	RSS1
GSM868590	RSS1
GSM868591	RSS1
GSM868592	RSS1
GSM868593	RSS1
GSM955444	RSS2
GSM955449	RSS1
GSM955450	RSS1
GSM955451	RSS1
GSM955456	RSS1
GSM955481	RSS1
GSM955485	RSS3
GSM955490	RSS1
GSM1012546	RSS1
GSM1012605	RSS1
GSM1012532	RSS1
GSM1012564	RSS1
GSM1012542	RSS1
GSM1012414	RSS2
GSM1012596	RSS1
GSM1012602	RSS1
GSM1012600	RSS1
GSM1012471	RSS1
GSM1012322	RSS1
GSM1012604	RSS2
GSM1012538	RSS1
GSM1012376	RSS1
GSM1103623	RSS1
GSM1103624	RSS1
GSM1103625	RSS1
GSM1103626	RSS1
GSM1103627	RSS3
GSM1103628	RSS2
GSM1103629	RSS1
GSM1103630	RSS1
GSM1103631	RSS3
GSM1103632	RSS1
GSM1103633	RSS1
GSM1103634	RSS2
GSM1103635	RSS1
GSM1103636	RSS1
GSM1103637	RSS1
GSM1103638	RSS1
GSM1103639	RSS3
GSM1103640	RSS1
GSM1103641	RSS1
GSM1103642	RSS2
GSM1103643	RSS1
GSM1103644	RSS1
GSM1103645	RSS1
GSM1103646	RSS1
GSM1103647	RSS2
GSM1103648	RSS2
GSM1103649	RSS1
GSM1103650	RSS1
GSM1103651	RSS1
GSM1103652	RSS1
GSM1103653	RSS1
GSM1103654	RSS1
GSM1103655	RSS1
GSM1103656	RSS1
GSM1103657	RSS1
GSM1103658	RSS1
GSM1103659	RSS1
GSM1103660	RSS1
GSM1103661	RSS1
GSM1103662	RSS2
GSM1103663	RSS1
GSM1103664	RSS1
